Individual	Sex	Mother	Date_Season_Start	Birth_Date	Death_Date	Season_Name	Maternal_Lineage	Current_Season	N_Saison	Censoring	Event	Age_Season_End	Age_Season_Start	Mean.SR	Cluster_YearBirth	Cluster_YearObs
I1	F	I730	20/08/2008	21/05/2007	23/03/2010	SD2	505ADBE	SD	3	1	0	637	457	1.983695652	1	3
I1	F	I730	16/02/2009	21/05/2007	23/03/2010	LD2	505ADBE	LD	4	1	0	821	637	1.994595079	1	3
I1	F	I730	19/08/2009	21/05/2007	23/03/2010	SD3	505ADBE	SD	5	1	0	1001	821	1.998228221	1	3
I1	F	I730	15/02/2010	21/05/2007	23/03/2010	LD3	505ADBE	LD	6	0	1	1037	1001	2.000044792	1	3
I2	M	I731	20/08/2008	28/05/2007	NA	SD2	505ADBE	SD	3	1	0	623	450	1.994535519	1	3
I2	M	I731	09/02/2009	28/05/2007	NA	LD2	505ADBE	LD	4	1	0	814	623	2.002777401	1	3
I2	M	I731	19/08/2009	28/05/2007	NA	SD3	505ADBE	SD	5	1	0	994	814	2.003683103	1	3
I2	M	I731	15/02/2010	28/05/2007	NA	LD3	505ADBE	LD	6	1	0	1176	994	1.994676074	1	3
I2	M	I731	16/08/2010	28/05/2007	NA	SD4	505ADBE	SD	7	1	0	1360	1176	1.999055776	1	3
I2	M	I731	16/02/2011	28/05/2007	NA	LD4	505ADBE	LD	8	1	0	1540	1360	1.9983024	1	3
I2	M	I731	15/08/2011	28/05/2007	NA	SD5	505ADBE	SD	9	1	0	1723	1540	1.999329844	1	3
I2	M	I731	14/02/2012	28/05/2007	NA	LD5	505ADBE	LD	10	1	0	1906	1723	2.000791024	1	3
I2	M	I731	15/08/2012	28/05/2007	NA	SD6	505ADBE	SD	11	5	0	2045	1906	2.000095968	1	3
I3	F	I520	25/09/2003	28/05/2002	09/06/2008	SD2	522ABJD	SD	3	1	0	664	485	2	1	2
I3	F	I520	22/03/2004	28/05/2002	09/06/2008	LD2	522ABJD	LD	4	1	0	847	664	1.99726776	1	3
I3	F	I520	21/09/2004	28/05/2002	09/06/2008	SD3	522ABJD	SD	5	1	0	1028	847	2.003703368	1	3
I3	F	I520	21/03/2005	28/05/2002	09/06/2008	LD3	522ABJD	LD	6	1	0	1211	1028	2.004151153	1	2
I3	F	I520	20/09/2005	28/05/2002	09/06/2008	SD4	522ABJD	SD	7	1	0	1396	1211	2.004419823	1	2
I3	F	I520	24/03/2006	28/05/2002	09/06/2008	LD4	522ABJD	LD	8	1	0	1582	1396	2.000965795	1	2
I3	F	I520	26/09/2006	28/05/2002	09/06/2008	SD5	522ABJD	SD	9	1	0	1758	1582	1.996207108	1	2
I3	F	I520	21/03/2007	28/05/2002	09/06/2008	LD5	522ABJD	LD	10	1	0	1939	1758	1.998753043	1	3
I3	F	I520	18/09/2007	28/05/2002	09/06/2008	SD6	522ABJD	SD	11	1	0	2124	1939	2.003871363	1	3
I3	F	I520	21/03/2008	28/05/2002	09/06/2008	LD6	522ABJD	LD	12	0	1	2204	2124	2.002937779	1	3
I4	F	I3	21/09/2004	03/06/2003	03/10/2006	SD2	522ABJD	SD	3	1	0	657	476	2.011019284	3	3
I4	F	I3	21/03/2005	03/06/2003	03/10/2006	LD2	522ABJD	LD	4	1	0	840	657	2.008256895	3	2
I4	F	I3	20/09/2005	03/06/2003	03/10/2006	SD3	522ABJD	SD	5	1	0	1025	840	2.007336098	3	2
I4	F	I3	24/03/2006	03/06/2003	03/10/2006	LD3	522ABJD	LD	6	1	0	1211	1025	2.001425987	3	2
