"","X","time","outcome","id"
"1",1,0.5,1,1
"2",2,0.5,1,2
"3",3,0.5,1,3
"4",4,0.7,0,4
"5",5,1,1,5
"6",6,1,1,6
"7",7,1,1,7
"8",8,1,1,8
"9",9,1,1,9
"10",10,2,0,10
"11",11,2,0,11
"12",12,3,1,12
"13",13,3,1,13
"14",14,3,1,14
"15",15,3,1,15
"16",16,4,1,16
"17",17,4,1,17
"18",18,4,1,18
"19",19,4,1,19
"20",20,4,1,20
"21",21,4,1,21
"22",22,5,1,22
"23",23,5,1,23
"24",24,5,1,24
"25",25,6,0,25
"26",26,6,0,26
"27",27,7,1,27
"28",28,7,1,28
"29",29,7,1,29
"30",30,8,1,30
"31",31,8,1,31
"32",32,8,1,32
"33",33,8,1,33
"34",34,16,1,34
"35",35,28,0,35
"36",36,28,0,36
"37",37,28,0,37
"38",38,28,0,38
"39",39,28,0,39
"40",40,28,0,40
"41",41,28,0,41
"42",42,28,0,42
"43",43,28,0,43
"44",44,28,0,44
"45",45,28,0,45
"46",46,28,0,46
"47",47,28,0,47
"48",48,28,0,48
"49",49,28,0,49
"50",50,28,0,50
"51",51,28,0,51
"52",52,28,0,52
"53",53,28,0,53
